date,date factor,year factor,plot,Treatment,Plant #,BRIX,sugar mass (mg)
6/2/2015,1,1,WSR10,0,6,12,0.070792727
6/2/2015,1,1,WSR10,0,4,22,0.10028
6/2/2015,1,1,WSR10,0,6,42,0.108741818
6/2/2015,1,1,WHSR9,1,4,18,0.122818182
6/2/2015,1,1,WHSR9,1,4,27,0.199118182
6/2/2015,1,1,WSR10,0,2,29,0.20286
6/3/2015,2,1,CH5,1,4,26,0.015714545
6/3/2015,2,1,CHSR8,1,3,24,0.023981818
6/3/2015,2,1,CHSR8,1,4,8,0.025469091
6/3/2015,2,1,CC6,0,1,7,0.035247273
6/3/2015,2,1,CH5,1,6,45,0.040407273
6/3/2015,2,1,CH5,1,2,24,0.043167273
6/3/2015,2,1,CHSR8,1,9,13,0.044705455
6/3/2015,2,1,CH5,1,4,36,0.045403636
6/3/2015,2,1,CH5,1,6,41,0.054370909
6/3/2015,2,1,CH5,1,2,26,0.062858182
6/3/2015,2,1,CC6,0,9,17,0.066
6/3/2015,2,1,CHSR8,1,3,27,0.068269091
6/3/2015,2,1,CHSR8,1,1,35,0.075672727
6/3/2015,2,1,CC6,0,1,14,0.077878182
6/3/2015,2,1,CHSR8,1,3,26,0.089049091
6/3/2015,2,1,CC6,0,2,27,0.136538182
6/3/2015,2,1,CC6,0,1,23,0.191854545
6/6/2015,3,1,EHSR1,1,1,16,0.021661818
6/6/2015,3,1,EH4,1,7,35,0.045403636
6/6/2015,3,1,EHSR1,1,1,24,0.047963636
6/6/2015,3,1,EHSR1,1,4,19,0.048336364
6/6/2015,3,1,EC3,0,9,3,0.057294545
6/6/2015,3,1,EHSR1,1,1,17,0.0924
6/6/2015,3,1,EH4,1,6,21,0.10464
6/6/2015,3,1,EH4,1,3,18,0.157909091
6/6/2015,3,1,EH4,1,6,16,0.160916364
6/6/2015,3,1,ESR2,0,4,22,0.21364
6/6/2015,3,1,ESR2,0,4,22,0.218
6/6/2015,3,1,EH4,1,3,30,0.47334
6/8/2015,4,1,WHSR9,1,2,17,0.0198
6/8/2015,4,1,CSR7,0,9,3,0.025892727
6/8/2015,4,1,CHSR8,1,2,34,0.042523636
6/8/2015,4,1,CH5,1,2,22,0.07412
6/8/2015,4,1,CHSR8,1,6,25,0.078572727
6/8/2015,4,1,WSR10,0,9,6,0.088049091
6/8/2015,4,1,CH5,1,2,20,0.094341818
6/8/2015,4,1,CC6,0,9,19,0.096672727
6/8/2015,4,1,CC6,0,9,21,0.11336
6/8/2015,4,1,CHSR8,1,5,23,0.129501818
6/8/2015,4,1,WHSR9,1,2,24,0.129501818
6/8/2015,4,1,WC11,0,9,24,0.139094545
6/8/2015,4,1,WHSR9,1,8,23,0.143890909
6/8/2015,4,1,WC11,0,9,25,0.167621818
6/8/2015,4,1,WC11,0,9,26,0.167621818
6/8/2015,4,1,CHSR8,1,8,33,0.212618182
6/8/2015,4,1,CHSR8,1,5,24,0.2638
6/8/2015,4,1,CH5,1,5,23,0.594749091
6/10/2015,5,1,EHSR1,1,9,6,0.003343636
6/10/2015,5,1,EHSR1,1,9,7,0.011749091
6/10/2015,5,1,EC3,0,6,26,0.020952727
6/10/2015,5,1,ESR2,0,1,32,0.026450909
6/10/2015,5,1,ESR2,0,3,32,0.039676364
6/10/2015,5,1,EH4,1,8,28,0.12516
6/10/2015,5,1,EH4,1,8,21,0.17004
6/10/2015,5,1,EH4,1,2,15,0.193569091
6/10/2015,5,1,EH4,1,2,23,0.249410909
6/11/2015,6,1,CHSR8,1,9,1,0.002181818
6/11/2015,6,1,CH5,1,6,37,0.008058182
6/11/2015,6,1,CHSR8,1,5,5,0.015732727
6/11/2015,6,1,CSR7,0,6,48,0.021269091
6/11/2015,6,1,CHSR8,1,9,3,0.0303
6/11/2015,6,1,CH5,1,6,14,0.032225455
6/11/2015,6,1,CC6,0,7,20,0.035378182
6/11/2015,6,1,CHSR8,1,2,10,0.04152
6/11/2015,6,1,CC6,0,7,30,0.055325455
6/11/2015,6,1,CHSR8,1,7,45,0.060610909
6/11/2015,6,1,CH5,1,6,17,0.0693
6/11/2015,6,1,CHSR8,1,9,2,0.077110909
6/11/2015,6,1,CH5,1,5,21,0.10028
6/11/2015,6,1,CH5,1,6,17,0.1089
6/11/2015,6,1,CC6,0,5,20,0.117927273
6/11/2015,6,1,CC6,0,7,18,0.147381818
6/11/2015,6,1,CC6,0,6,28,0.153605455
6/11/2015,6,1,CH5,1,10,27,0.301521818
6/12/2015,7,1,WHSR9,1,6,3,0.029198182
6/12/2015,7,1,WHSR9,1,6,8,0.080901818
6/12/2015,7,1,WHSR9,1,2,15,0.130009091
6/13/2015,8,1,EH4,1,6,26,0.083810909
6/13/2015,8,1,EH4,1,2,41,0.108741818
6/13/2015,8,1,CHSR8,1,5,7,0.285894545
6/5/2016,9,2,ESR2,0,6,2,0.000730909
6/5/2016,9,2,EH4,1,6,17,0.0033
6/5/2016,9,2,CH5,1,7,16,0.009283636
6/5/2016,9,2,CH5,1,7,16,0.012378182
6/5/2016,9,2,ESR2,0,2,22,0.01744
6/5/2016,9,2,EC3,0,1,22,0.0218
6/5/2016,9,2,EC3,0,3,24,0.023981818
6/5/2016,9,2,EHSR1,1,2,38,0.024174545
6/5/2016,9,2,EHSR1,1,2,35,0.030269091
6/5/2016,9,2,CH5,1,3,26,0.031429091
6/5/2016,9,2,EH4,1,9,19,0.0409
6/5/2016,9,2,EHSR1,1,5,30,0.049178182
6/5/2016,9,2,CH5,1,4,31,0.052901818
6/5/2016,9,2,EH4,1,3,35,0.060538182
6/5/2016,9,2,ESR2,0,2,38,0.08864
6/5/2016,9,2,CH5,1,2,33,0.120483636
6/5/2016,9,2,CH5,1,5,36,0.16648
6/6/2016,10,2,WC11,0,3,15,0.011556364
6/6/2016,10,2,CC6,0,10,14,0.013427273
6/6/2016,10,2,CSR7,0,5,18,0.014036364
6/6/2016,10,2,WSR10,0,1,16,0.018567273
6/6/2016,10,2,WSR10,0,7,27,0.022756364
6/6/2016,10,2,CSR7,0,8,29,0.024589091
6/6/2016,10,2,WHSR9,1,2,15,0.03178
6/6/2016,10,2,CSR7,0,9,38,0.032232727
