"date","plot","treatment","plant","volume","BRIX","mass"
2015-06-02,"WSR10","C","WSR10-9",1.89090909090909,3,0.0572945454545455
2015-06-02,"WSR10","C","WSR10-1",0.490909090909091,7,0.0352472727272727
2015-06-02,"WSR10","C","WSR10-1",0.527272727272727,14,0.0778781818181818
2015-06-02,"WSR10","C","WSR10-9",0.363636363636364,17,0.066
2015-06-02,"WHSR9","H","WHSR9-1",0.727272727272727,23,0.191854545454545
2015-06-02,"WHSR9","H","WHSR9-2",0.436363636363636,27,0.136538181818182
2015-06-03,"CH5","H","CH5-7",0.763636363636364,18,0.147381818181818
2015-06-03,"CC6","C","CC6-9",0.472727272727273,19,0.0966727272727273
2015-06-03,"CH5","H","CH5-7",0.163636363636364,20,0.0353781818181818
2015-06-03,"CH5","H","CH5-5",0.545454545454545,20,0.117927272727273
2015-06-03,"CC6","C","CC6-9",0.472727272727273,21,0.11336
2015-06-03,"CC6","C","CC6-9",0.527272727272727,24,0.139094545454545
2015-06-03,"CHSR8","H","CHSR8-2",0.163636363636364,24,0.0431672727272727
2015-06-03,"CC6","C","CC6-9",0.581818181818182,25,0.167621818181818
2015-06-03,"CHSR8","H","CHSR8-4",0.0545454545454545,26,0.0157145454545455
2015-06-03,"CC6","C","CC6-9",0.581818181818182,26,0.167621818181818
2015-06-03,"CHSR8","H","CHSR8-2",0.218181818181818,26,0.0628581818181818
2015-06-03,"CH5","H","CH5-6",0.0727272727272727,26,0.0209527272727273
2015-06-03,"CH5","H","CH5-6",0.490909090909091,28,0.153605454545455
2015-06-03,"CH5","H","CH5-7",0.163636363636364,30,0.0553254545454545
2015-06-03,"CHSR8","H","CHSR8-4",0.109090909090909,36,0.0454036363636364
2015-06-03,"CHSR8","H","CHSR8-6",0.109090909090909,41,0.0543709090909091
2015-06-03,"CHSR8","H","CHSR8-6",0.0727272727272727,45,0.0404072727272727
2015-06-06,"ESR2","C","ESR2-4",0,0,0
2015-06-06,"ESR2","C","ESR2-8",0,0,0
2015-06-06,"ESR2","C","ESR2-1",0,0,0
2015-06-06,"EHSR1","H","EHSR1-2",1.21818181818182,14,0.179925454545455
2015-06-06,"EH4","H","EH4-6",0.945454545454545,16,0.160916363636364
2015-06-06,"EC3","C","EC3-3",0.818181818181818,18,0.157909090909091
2015-06-06,"EHSR1","H","EHSR1-2",0.436363636363636,20,0.0943418181818182
