"date","plot","quad","treatment","BRIX","mass"
2016-06-23,"CSR7","SW","C",36,0.10089696969697
2016-06-23,"ESR2","NE","C",42,0.0528606060606061
2016-06-23,"CC6","SE","C",43,0.0239454545454545
2016-06-23,"CH5","NE","H",45,0.0505090909090909
2016-06-23,"CH5","NE","H",45,0.0926
2016-06-23,"CC6","SE","C",45,0.0252545454545455
2016-06-23,"CH5","NW","H",45,0.0505090909090909
2016-06-23,"EC3","SW","C",46,0.0420909090909091
2016-06-23,"CC6","SW","C",46,0.0841818181818182
2016-06-23,"CC6","SW","C",46,0.0505090909090909
2016-06-23,"ESR2","SE","C",46,0.0420909090909091
2016-06-23,"CH5","NW","H",46,0.0420909090909091
2016-06-23,"WH12","SW","H",47,0.0886212121212121
2016-06-23,"WH12","SE","H",47,0.115207575757576
2016-06-23,"WHSR9","NE","H",47,0.0708969696969697
2016-06-23,"ESR2","NE","C",48,0.115207575757576
2016-06-23,"CSR7","SW","C",48,0.0974833333333333
2016-06-23,"EH4","NW","H",49,0.0465757575757576
2016-06-23,"WSR10","SW","C",49,0.111781818181818
2016-06-23,"WHSR9","SE","H",49,0.0652060606060606
2016-06-23,"WSR10","SW","C",50,0.0838363636363636
2016-06-23,"WHSR9","SW","H",50,0.0652060606060606
2016-06-23,"CH5","SW","H",52,0.068419696969697
2016-06-23,"CH5","SW","H",52,0.0781939393939394
2016-06-23,"EH4","NE","H",53,0.0488712121212121
2016-06-23,"EH4","NE","H",53,0.0488712121212121
2016-06-23,"ESR2","SE","C",54,0.0428727272727273
2016-06-23,"WH12","NW","H",54,0.160772727272727
2016-06-23,"EC3","SE","C",54,0.0750272727272727
2016-06-23,"CC6","NW","C",55,0.107181818181818
2016-06-23,"EHSR1","SW","H",56,0.0643090909090909
2016-06-23,"CSR7","NW","C",56,0.0214363636363636
2016-06-23,"EHSR1","SW","H",57,0.0336045454545454
2016-06-23,"WHSR9","NE","H",57,0.100813636363636
2016-06-23,"CC6","NE","C",57,0.0448060606060606
2016-06-23,"WH12","SW","H",58,0.112015151515152
2016-06-23,"EH4","NW","H",58,0.0784106060606061
2016-06-23,"EHSR1","SE","H",59,0.0350863636363636
2016-06-23,"WHSR9","SE","H",59,0.12865
2016-06-23,"EH4","SW","H",60,0.0818681818181818
2016-06-23,"WH12","NW","H",60,0.0935636363636364
2016-06-23,"CHSR8","SE","H",61,0.0487818181818182
2016-06-23,"EH4","SW","H",61,0.0853681818181818
2016-06-23,"CHSR8","SE","H",61,0.0487818181818182
2016-06-23,"WSR10","NW","C",65,0.119018181818182
2016-06-23,"WSR10","NW","C",66,0.092569696969697
2016-06-23,"WSR10","NE","C",66,0.0793454545454546
2016-06-23,"CHSR8","NW","H",67,0.0550060606060606
2016-06-23,"WSR10","NE","C",67,0.0825090909090909
2016-06-24,"CH5","SE","H",37,0.0402909090909091
2016-06-24,"EC3","NE","C",44,0.0957818181818182
2016-06-24,"WC11","SW","C",45,0.0505090909090909
2016-06-24,"WSR10","SW","C",50,0.0465757575757576
2016-06-24,"CC6","SE","C",50,0.0745212121212121
2016-06-24,"CSR7","SW","C",50,0.0652060606060606
2016-06-24,"WH12","SW","H",50,0.0652060606060606
2016-06-24,"CH5","NE","H",50,0.0279454545454545
2016-06-24,"CH5","NW","H",53,0.0977424242424243
2016-06-24,"WHSR9","SE","H",53,0.107516666666667
2016-06-24,"CC6","NW","C",54,0.0750272727272727
2016-06-24,"WHSR9","NW","H",54,0.0964636363636364
2016-06-24,"WH12","NE","H",55,0.0643090909090909
2016-06-24,"WHSR9","NE","H",55,0.0857454545454546
2016-06-24,"EC3","SW","C",55,0.0857454545454546
2016-06-24,"ESR2","SE","C",55,0.0750272727272727
2016-06-24,"WSR10","SE","C",55,0.0535909090909091
2016-06-24,"ESR2","NE","C",55,0.0750272727272727
2016-06-24,"CC6","NW","C",55,0.0857454545454546
2016-06-24,"EC3","SE","C",55,0.0857454545454546
2016-06-24,"CH5","NW","H",56,0.0535909090909091
2016-06-24,"WH12","NE","H",56,0.0535909090909091
2016-06-24,"EC3","NW","C",56,0.0964636363636364
2016-06-24,"WHSR9","NE","H",56,0.1179
2016-06-24,"EH4","SW","H",57,0.0560075757575758
2016-06-24,"CC6","SW","C",57,0.0672090909090909
2016-06-24,"CC6","NE","C",58,0.0672090909090909
2016-06-24,"WHSR9","NW","H",58,0.0672090909090909
2016-06-24,"WSR10","SW","C",59,0.0584772727272727
2016-06-24,"WH12","NW","H",59,0.0818681818181818
2016-06-24,"WH12","SW","H",60,0.0584772727272727
2016-06-24,"WSR10","NE","C",60,0.0818681818181818
2016-06-24,"CSR7","SE","C",60,0.0233909090909091
2016-06-24,"WHSR9","SW","H",60,0.152040909090909
2016-06-24,"EHSR1","SW","H",61,0.0487818181818182
2016-06-24,"WH12","SE","H",61,0.0487818181818182
2016-06-24,"EH4","NE","H",62,0.0609772727272727
2016-06-24,"ESR2","NE","C",62,0.0975636363636364
2016-06-24,"EH4","NW","H",62,0.0731727272727273
2016-06-24,"CSR7","NE","C",62,0.0609772727272727
2016-06-24,"EH4","NW","H",63,0.063530303030303
2016-06-24,"CSR7","NW","C",63,0.0381181818181818
2016-06-24,"EC3","SE","C",64,0.0508242424242424
2016-06-24,"EHSR1","SE","H",64,0.0762363636363636
2016-06-24,"CC6","SW","C",65,0.0793454545454546
2016-06-24,"CHSR8","SE","H",65,0.0793454545454546
2016-06-24,"WSR10","SE","C",65,0.0661212121212121
2016-06-24,"CHSR8","SE","H",66,0.0396727272727273
2016-06-24,"WSR10","NE","C",66,0.092569696969697
2016-06-24,"CH5","SW","H",66,0.0793454545454546
2016-06-24,"WH12","NW","H",67,0.110012121212121
2016-06-24,"EH4","NE","H",67,0.0550060606060606
2016-06-24,"WSR10","NW","C",67,0.0412545454545455
