date,avg wind (mph),temp (?F),Humidity (%),Shade/ Sun,time (am),plot,treatment,Plant #,cm of tube filled,cm of second tube filled,cm of third tube,cm of fourth tube,size tube (µL),% sucrose,% of second tube,% of third tube,% of fourth tube,Volume (µL),notes
6/2/2015,1.3,50,,sun,8:26,WSR (10),snow removal,1,2.7,,,,1,7,,,,0.490909091,flowers are fairly dewey
6/2/2015,1.3,50,,sun,8:30,WSR (10),snow removal,1,2.9,,,,1,14,,,,0.527272727,
6/2/2015,0,55,,sun,8:35,WSR (10),snow removal,9,2,,,,1,17,,,,0.363636364,
6/2/2015,0,55,,sun,8:40,WSR (10),snow removal,9,5.5,4.9,,,1,3,3,,,1.890909091,*Plots 11 & 12 - no flowers
6/2/2015,0,65.8,,sun,8:48,WHSR (9),heating & snow removal,1,4,,,,1,23,,,,0.727272727,
6/2/2015,0,65.8,,sun,8:51,WHSR (9),heating & snow removal,2,2.4,,,,1,27,,,,0.436363636,very early flowering
6/3/2015,0,43.3,,shade,7:33,CC (6),control,9,3.2,,,,1,25,,,,0.581818182,
6/3/2015,0,43.3,,shade,7:38,CC (6),control,9,2.9,,,,1,24,,,,0.527272727,
6/3/2015,0,43.3,,shade,7:41,CC (6),control,9,2.6,,,,1,21,,,,0.472727273,
6/3/2015,0,43.3,,shade,7:44,CC (6),control,9,3.2,,,,1,26,,,,0.581818182,
6/3/2015,0,43.3,,shade,7:46,CC (6),control,9,2.6,,,,1,19,,,,0.472727273,
6/3/2015,0,48.5,,sun,7:48,CH (5),heating,5,3,,,,1,20,,,,0.545454545,
6/3/2015,0,50.5,,sun,7:54,CH (5),heating,6,2.7,,,,1,28,,,,0.490909091,
6/3/2015,0,50.7,,sun,7:58,CH (5),heating,6,0.4,,,,1,26,,,,0.072727273,
6/3/2015,0,51,,sun,8:02,CH (5),heating,7,4.2,,,,1,18,,,,0.763636364,
6/3/2015,0,54.3,,sun,8:05,CH (5),heating,7,0.9,,,,1,30,,,,0.163636364,
6/3/2015,0,54.3,,sun,8:09,CH (5),heating,7,0.9,,,,1,20,,,,0.163636364,flower is slightly outside warming structure
6/3/2015,0,55.9,,sun,8:16,CHSR (8),heating & snow removal,2,0.9,,,,1,24,,,,0.163636364,CSR (7) has no flowers
6/3/2015,0,54.3,,sun,8:20,CHSR (8),heating & snow removal,2,1.2,,,,1,26,,,,0.218181818,
6/3/2015,0,58,,sun,8:25,CHSR (8),heating & snow removal,4,0.6,,,,1,36,,,,0.109090909,
6/3/2015,0.6,55.2,,sun,8:33,CHSR (8),heating & snow removal,4,0.3,,,,1,26,,,,0.054545455,
6/3/2015,0.6,55.4,,sun,8:36,CHSR (8),heating & snow removal,6,0.6,,,,1,41,,,,0.109090909,
6/3/2015,0.6,55.4,,sun,8:41,CHSR (8),heating & snow removal,6,0.4,,,,1,45,,,,0.072727273,
6/6/2015,0,48.6,,shade,7:54,EHSR (1),heating & snow removal,2,1.7,,,,1,22,,,,0.309090909,
6/6/2015,0,49.1,,shade,7:56,EHSR (1),heating & snow removal,2,5.2,,,,1,23,,,,0.945454545,late flowering
6/6/2015,0,49.9,,shade,8:01,EHSR (1),heating & snow removal,2,5.5,1.2,,,1,15,12,,,1.218181818,
6/6/2015,0,49.8,,shade,8:05,EHSR (1),heating & snow removal,2,2.4,,,,1,20,,,,0.436363636,very early flower
6/6/2015,0,49.5,,shade,8:11,ESR (2),snow removal,8,0,,,,1,0,,,,0,late flower
6/6/2015,0,49.5,,shade,8:14,ESR (2),snow removal,8,3.9,,,,1,21,,,,0.709090909,
6/6/2015,0,50.5,,sun,8:18,ESR (2),snow removal,8,2.2,,,,1,28,,,,0.4,late flower
6/6/2015,0,50.8,,sun,8:20,ESR (2),snow removal,4,0,,,,1,0,,,,0,
6/6/2015,0,51.3,,sun,8:23,ESR (2),snow removal,1,0,,,,1,0,,,,0,
6/6/2015,0,54.7,,sun,8:28,EC (3),control,3,4.5,,,,1,18,,,,0.818181818,
