date,avg wind (mph),temp (?F),Humidity (%),Shade/ Sun,time (am),plot,treatment,Plant #,mm of tube filled,size tube (µL),BRIX,Volume (µL),notes
6/5/2016,0,10.1,77.2,Shade,8:00,EHSR1,,2,4,1,35,,
6/5/2016,,,,Shade,8:02,EHSR1,,2,3,1,38,,
6/5/2016,,,,Shade,8:04,EHSR1,,5,8,1,30,,
6/5/2016,0,9.3,85.8,Shade,8:06,EHSR1,,5,4,1,0,,
6/5/2016,0,9.6,85.3,Sun,8:11,ESR2,,2,4,1,22,,
6/5/2016,,,,Sun,8:13,ESR2,,2,11,1,38,,
6/5/2016,0,10.8,87.2,Sun,8:14,ESR2,,4,0,1,0,,
6/5/2016,,,,Sun,8:15,ESR2,,4,0,1,0,,
6/5/2016,,,,Sun,8:17,ESR2,,6,2,1,2,,
6/5/2016,,,,Sun,8:18,ESR2,,6,0,1,0,,
6/5/2016,0,10.6,82.5,Sun,8:22,EC3,,3,5,1,24,,
6/5/2016,,,,Sun,8:23,EC3,,3,0,1,0,,
6/5/2016,0,11.2,80.2,Sun,8:24,EC3,,1,5,1,22,,
6/5/2016,,,,Sun,8:27,EC3,,1,0,1,0,,
6/5/2016,0,11.0,81.8,Shade,8:28,EH4,,3,0,1,0,,
6/5/2016,,,,Shade,8:30,EH4,,3,8,1,35,,
6/5/2016,,,,Sun,8:31,EH4,,4,0,1,0,,
6/5/2016,,,,Sun,8:32,EH4,,4,0,1,0,,
6/5/2016,,,,Sun,8:34,EH4,,6,0,1,0,,
6/5/2016,,,,Sun,8:35,EH4,,6,1,1,17,,
6/5/2016,0,11.3,82.3,Shade,8:36,EH4,,8,0,1,0,,
6/5/2016,,,,Shade,8:37,EH4,,8,0,1,0,,
6/5/2016,,,,Sun,8:38,EH4,,9,11,1,19,,
6/5/2016,,,,Sun,,EH4,,9,0,1,0,,
6/5/2016,,,,Shade,8:44,CH5,,2,17,1,33,,
6/5/2016,,,,Shade,8:46,CH5,,2,11,1,>50,,
