date,avg wind (km/h),temp (?C),Humidity,Shade/ Sun,time (am),plot,treatment,Quadrant of plot,mm of tube filled,size tube (µL),BRIX,Volume (µL),notes,,
6/23/2016,0,6.7,76.1,Shade,7:24,1,,SE,3,0.5,59,,sampling from 3 flowers,,
6/23/2016,,,,Shade,,1,,SW,3,0.5,57,,,,
6/23/2016,,,,Shade,7:26,1,,SE,0,0.5,0,,,,
6/23/2016,0,7.7,75.2,Shade,,1,,SW,6,0.5,56,,no flowers in NW&NE,,
6/23/2016,,,,Shade,7:28,2,,SE,4,0.5,54,,,,
6/23/2016,,,,Shade,,2,,NE,13,0.5,48,,,,
6/23/2016,,,,Shade,,2,,SE,5,0.5,46,,,,
6/23/2016,0,7.3,78.0,Shade,7:32,2,,NE,7,0.5,42,,1 flower,,
6/23/2016,,,,Sun,7:35,2,,NW,1,0.5,NO READING,,sampling from 3 flowers,,
6/23/2016,,,,Shade,,2,,NW,0,0.5,0,,no flowers in SW,,
6/23/2016,0,7.3,77.0,Shade,7:38,3,,SW,2,0.5,NO READING,,,,
6/23/2016,,,,Shade,7:39,3,,NW,0,0.5,0,,,,
6/23/2016,,,,Shade,7:39,3,,SW,5,0.5,46,,,,
6/23/2016,,,,Shade,,3,,NW,1,0.5,NO READING,,,,
6/23/2016,,7.4,79.6,Shade,7:41,3,,SE,9,0.5,>50,,,,
6/23/2016,,,,Shade,,3,,SE,7,0.5,54,,,,
6/23/2016,,,,Shade,7:44,3,,NE,0,0.5,0,,3 flowers,,
6/23/2016,,,,Shade,7:44,3,,NE,3,0.5,<45,,,,
6/23/2016,0,7.3,80.3,Shade,7:45,4,,SE,0,0.5,0,,,,
6/23/2016,,,,Shade,7:45,4,,SW,7,0.5,61,,,,
6/23/2016,0,7.6,80.3,Shade,,4,,SE,0,0.5,0,,,,
6/23/2016,,,,Shade,7:47,4,,SW,7,0.5,60,,1 flower,,
6/23/2016,0,7.7,82.5,Shade,,4,,NW,7,0.5,58,,3 flowers,,
6/23/2016,,,,Shade,7:50,4,,NE,5,0.5,53,,,,
6/23/2016,,,,Sun,7:51,4,,NE,5,0.5,53,,,,
6/23/2016,0,7.7,82.9,Sun,7:53,4,,NW,5,0.5,49,,,,
6/23/2016,0,10.9,77.9,Sun,7:56,5,,NE,11,0.5,45,,,,
6/23/2016,,,,Sun,7:58,5,,SW,7,0.5,52,,,,
6/23/2016,0,13.2,,Sun,,5,,NE,6,0.5,45,,,,
6/23/2016,,,,Sun,8:00,5,,SW,8,0.5,52,,,,
6/23/2016,,,,Sun,,5,,SE,2,0.5,NO READING,,,,
6/23/2016,0,17.5,60.0,Sun,8:02,5,,NW,6,0.5,45,,,,
6/23/2016,,,,Sun,8:04,5,,SE,0,0.5,0,,Still bud/early flower sampling from 3 flowers,,
6/23/2016,,,,Sun,8:05,5,,NW,5,0.5,46,,,,
6/23/2016,0,19.2,51.9,Sun,8:06,6,,SE,3,0.5,45,,,,
6/23/2016,,,,Sun,,6,,SW,6,0.5,46,,,,
6/23/2016,,,,Sun,8:09,6,,SE,3,0.5,43,,,,
6/23/2016,,,,Sun,,6,,SW,10,0.5,46,,1 flower,,
6/23/2016,0,21.1,47.4,Sun,8:11,6,,NW,9,0.5,>50,,1 flower,,
6/23/2016,,,,Sun,,6,,NE,4,0.5,57,,3 flowers,,
6/23/2016,,,,Sun,,6,,NW,10,0.5,55,,1 flower,,
6/23/2016,,,,Sun,8:14,6,,NE,2,0.5,NO READING,,3 flowers,,
6/23/2016,0,20.6,44.5,Sun,8:17,7,,SE,0,0.5,0,,,,
6/23/2016,0,21.4,44.9,Sun,,7,,NW,1,0.5,NO READING,,,,
6/23/2016,,,,Sun,,7,,NW,2,0.5,56,,,,
6/23/2016,,,,Shade,8:19,7,,SE,0,0.5,0,,,,
6/23/2016,,,,Shade,8:20,7,,SW,11,0.5,48,,1 flower,,
6/23/2016,,,,Shade,,7,,NE,0,0.5,0,,,,
6/23/2016,0,20.9,47.0,Shade,8:22,7,,SW,16,0.5,36,,1 flower,,
6/23/2016,,,,Shade,,7,,NE,0,0.5,0,,,,
6/23/2016,0,20.3,48.2,Sun,8:23,8,,SE,4,0.5,61,,,,
6/23/2016,,,,Sun,8:25,8,,NW,4,0.5,67,,,,
6/23/2016,,,,Sun,,8,,SE,4,0.5,61,,,,
6/23/2016,,,,Sun,8:26,8,,NW,0,0.5,0,,"no flowers in NE, SW",,
6/23/2016,0,20.9,48.7,Sun,8:30,9,,NE,9,0.5,57,,2 flowers,,
6/23/2016,,,,Sun,,9,,SW,2,0.5,NO READING,,,,
6/23/2016,0,20.9,38.5,Sun,8:35,9,,NE,8,0.5,47,,,,
6/23/2016,,,,Sun,,9,,SW,7,0.5,50,,,,
6/23/2016,,,,Sun,,9,,SE,7,0.5,49,,,,
6/23/2016,,20.7,37.0,Sun,8:38,9,,NW,7,0.5,<45,,,,
6/23/2016,,,,Sun,,9,,NW,0,0.5,0,,still budding,,
6/23/2016,,,,Sun,8:39,9,,SE,11,0.5,59,,,,
6/23/2016,,,,Sun,,10,,SE,1,0.5,NO READING,,,,
6/23/2016,,21.4,33.6,Sun,8:42,10,,NW,7,0.5,66,,,,
6/23/2016,,,,Sun,8:44,10,,SE,3,0.5,NO READING,,,,
6/23/2016,,,,Sun,,10,,NW,9,0.5,65,,,,
6/23/2016,,,,Sun,,10,,NE,6,0.5,67,,,,
6/23/2016,,,,Sun,8:47,10,,SW,9,0.5,50,,,,
6/23/2016,,,,Sun,,10,,NE,6,0.5,66,,,,
